"ENSG00000091831" "ENSG00000082175" "ENSG00000141736" "y"
"TCGA-AO-A03R-01A-21R-A034-07" 41.0691124136 0.941430438125 7.0841981799 0
"TCGA-A7-A0DC-01B-04R-A22O-07" 247.187089426 5.32704319494 30.0145970578 0
"TCGA-AR-A5QN-01A-12R-A28M-07" 82.2932353475 0.686913390209 47.5522562833 0
"TCGA-B6-A409-01A-11R-A24H-07" 0.549996310386 0.322440708455 21.1451798121 1
"TCGA-E2-A1IU-01A-11R-A14D-07" 116.333663048 17.7059921818 58.4173541084 0
"TCGA-GM-A2DL-01A-11R-A18M-07" 20.9248005212 18.8062593868 16.1642030771 0
"TCGA-AR-A24O-01A-11R-A169-07" 25.5182386996 24.6869719948 20.1707096834 0
"TCGA-BH-A0BR-01A-21R-A115-07" 5.36212691504 0.182303907229 27.6701023163 0
"TCGA-AO-A1KQ-01A-11R-A13Q-07" 56.7685382662 11.8267728674 28.2891517738 0
"TCGA-A1-A0SK-01A-12R-A084-07" 0.0402969140817 0.0269113407497 1.56090122074 1
"TCGA-AC-A8OS-01A-12R-A41B-07" 94.7158095843 1.13900848499 23.5446106987 0
"TCGA-D8-A1XF-01A-11R-A14D-07" 47.2371671273 0.215082776132 42.8100286884 0
"TCGA-BH-A201-01A-11R-A14M-07" 24.4664161181 23.7112412406 32.1015295497 0
"TCGA-BH-A0DQ-01A-11R-A084-07" 21.9636094076 11.3355372307 21.0973268647 0
"TCGA-E2-A1IH-01A-11R-A13Q-07" 28.5433930733 5.15285665952 27.3899632403 0
"TCGA-AR-A1AO-01A-11R-A12P-07" 1.47324922883 1.12698797016 14.8922167441 0
"TCGA-BH-A6R9-01A-21R-A32P-07" 0.590044657343 0.247987142015 8.18274674005 0
"TCGA-A8-A09E-01A-11R-A00Z-07" 83.5747027797 17.8261657146 72.8305889416 0
"TCGA-A2-A1FW-01A-11R-A13Q-07" 124.162897473 0.280912825889 15.2657135549 0
"TCGA-AO-A12A-01A-21R-A115-07" 28.3367136902 47.2978661536 32.0326978649 0
"TCGA-BH-A0W7-01A-11R-A115-07" 7.32714692591 1.96179735903 20.9909057067 0
"TCGA-AC-A2QJ-01A-12R-A19W-07" 0.0998154648419 0.00116946310213 7.34479822609 1
"TCGA-BH-A0H7-01A-13R-A056-07" 26.2402854546 11.2977462875 22.7975503122 0
"TCGA-C8-A1HO-01A-11R-A13Q-07" 44.8075198909 0.915976031999 9.52436683609 0
"TCGA-E9-A3Q9-01A-11R-A21T-07" 45.6227350052 50.502782438 14.9724776847 0
"TCGA-OL-A97C-01A-32R-A41B-07" 16.2466038855 8.56199212883 24.0370328876 1
"TCGA-A1-A0SE-01A-11R-A084-07" 17.0216949958 23.7190741853 46.3482554991 0
"TCGA-A2-A25C-01A-11R-A169-07" 14.9566357892 4.12222799327 42.0001942011 0
"TCGA-Z7-A8R5-01A-42R-A41B-07" 11.4328831269 1.37641453912 36.953779646 0
"TCGA-BH-A0E0-01A-11R-A056-07" 1.30979389363 0.0846096882755 18.5408969293 1
"TCGA-E2-A1B1-01A-21R-A12P-07" 3.78953962432 2.34616755637 126.840680404 0
"TCGA-BH-A0BZ-01A-31R-A12P-07" 26.0659259883 0.198717480679 33.9714258251 0
"TCGA-AO-A03M-01B-11R-A10J-07" 10.5375938188 5.96867686156 68.7919825207 0
"TCGA-A2-A0EV-01A-11R-A034-07" 51.6678822601 31.9527649094 64.7199878481 0
"TCGA-AR-A24L-01A-11R-A169-07" 36.9752000845 10.6675742713 37.7022782707 0
"TCGA-AC-A62X-01A-11R-A29R-07" 0.186076142339 0.0216669881328 28.5313730592 0
"TCGA-A2-A0YJ-01A-11R-A109-07" 0.0853433761638 0.0311445654478 240.24396081 0
"TCGA-A7-A26G-01A-21R-A169-07" 0.354446434244 0.533940488576 4.81486426361 1
"TCGA-BH-A0HA-01A-11R-A12P-07" 11.8806623955 5.91368796416 31.6367169753 0
"TCGA-BH-A1FL-01A-11R-A13Q-07" 103.73777144 22.1215730832 51.1813951005 0
"TCGA-AO-A0JC-01A-11R-A056-07" 13.6734853327 1.30749952023 5.20442099181 0
"TCGA-BH-A0EB-01A-11R-A034-07" 116.185095871 5.9954791209 32.7709335646 0
"TCGA-GM-A2DA-01A-11R-A18M-07" 9.88157120548 3.56960035712 196.798748533 0
"TCGA-D8-A1JD-01A-11R-A13Q-07" 26.4059660156 8.83712118806 36.352784312 0
"TCGA-E2-A573-01A-11R-A29R-07" 0.141213624479 0.0641805936078 15.1782250321 1
"TCGA-A2-A0CT-01A-31R-A056-07" 55.2826918119 0.131099008826 76.2604630275 0
"TCGA-A2-A25A-01A-12R-A16F-07" 12.8095910735 24.3361213536 16.0047863312 0
"TCGA-BH-A0HI-01A-11R-A084-07" 84.295514598 10.8802155871 37.9830186129 0
"TCGA-A8-A06T-01A-11R-A00Z-07" 128.289710205 35.9887819473 64.0142255688 0
"TCGA-BH-A0B6-01A-11R-A19W-07" 30.183716999 0.164701051328 17.1495363974 0
"TCGA-AR-A24N-01A-11R-A169-07" 95.9269375885 13.7644060029 33.3474657242 0
"TCGA-BH-A18F-01A-11R-A12D-07" 17.5772048134 1.21248514551 17.9830629186 0
"TCGA-GM-A3XG-01A-31R-A24H-07" 7.37882694555 19.3927074636 56.0683573453 0
"TCGA-BH-A0AW-01A-11R-A056-07" 1.10364679038 0.112490083239 558.996123595 0
"TCGA-EW-A1OW-01A-21R-A144-07" 0.0865472481105 0.181328728372 21.7996169623 1
"TCGA-LL-A5YP-01A-21R-A28M-07" 0.155985438619 0.0513911179204 15.0963165432 0
"TCGA-C8-A12V-01A-11R-A115-07" 0.695298638439 0.115092509873 8.43991641107 1
"TCGA-C8-A138-01A-11R-A115-07" 3.76938390385 0.134695494899 58.8863271494 0
"TCGA-A8-A0A9-01A-11R-A00Z-07" 85.8983368582 14.7455171304 53.2662274155 0
"TCGA-AC-A3TM-01A-11R-A22K-07" 9.08763948351 14.9014709735 44.5923616913 0
"TCGA-AO-A125-01A-11R-A10J-07" 129.982715881 72.4036952636 33.3912065399 0
"TCGA-A7-A13D-01A-13R-A277-07" 0.524080298815 0.808075835046 42.2814524867 0
"TCGA-AC-A3YJ-01A-11R-A22U-07" 49.3444695877 31.7287996062 36.3078627249 0
"TCGA-A2-A0YE-01A-11R-A109-07" 0.0576904683166 0.0705073205792 28.799379546 1
"TCGA-D8-A1JH-01A-11R-A13Q-07" 48.0499906494 32.073498206 37.5364584028 0
"TCGA-OL-A66L-01A-12R-A31O-07" 11.8831691176 3.57701840575 35.3510424932 0
"TCGA-E2-A1II-01A-11R-A144-07" 0.142704081925 0.194132777072 10.7281300929 0
"TCGA-A2-A0EQ-01A-11R-A034-07" 2.12986767805 0.0399392448205 30.1461395983 1
"TCGA-BH-A1FB-01A-11R-A13Q-07" 35.9853701076 60.4783382948 28.2456931684 0
"TCGA-A2-A0SX-01A-12R-A084-07" 1.36198657941 0.185325310847 21.6758542485 1
"TCGA-AR-A2LK-01A-11R-A180-07" 130.325097674 32.2536277755 29.9003213901 0
"TCGA-AN-A04D-01A-21R-A034-07" 0.0694329793252 0.0211973360637 21.3329576303 1
"TCGA-OL-A6VO-01A-12R-A33J-07" 0.824657417764 0.0124458293155 24.9120688221 1
"TCGA-A2-A0CY-01A-12R-A034-07" 52.4839486672 0.332570856724 16.8421275526 0
"TCGA-A7-A6VX-01A-12R-A33J-07" 51.596777519 0.179702745171 31.4039504606 0
"TCGA-AR-A1AH-01A-11R-A12D-07" 0.0316573410297 0.0303571782434 34.1232253533 0
"TCGA-A8-A075-01A-11R-A084-07" 8.43926904237 0.364413877429 24.317413453 0
"TCGA-E2-A576-01A-11R-A31O-07" 52.1979062704 4.94758830671 57.5762193878 0
"TCGA-A7-A0DB-01A-11R-A00Z-07" 80.1952415767 23.5873360798 38.9327580749 0
"TCGA-A8-A08S-01A-11R-A034-07" 73.0194560018 3.79197471326 209.008194479 0
"TCGA-A8-A081-01A-11R-A00Z-07" 91.5532045726 0.05344938451 81.9237446764 0
"TCGA-C8-A130-01A-31R-A115-07" 22.4308109255 3.03039038405 42.1739569383 0
"TCGA-AC-A2FK-01A-12R-A180-07" 4.44093632444 18.2002577855 58.008022856 0
"TCGA-C8-A1HN-01A-11R-A137-07" 132.338194507 1.83485820713 53.4382466235 0
"TCGA-AR-A2LH-01A-31R-A18M-07" 5.05035626277 1.06003504909 35.4404598056 1
"TCGA-AO-A124-01A-11R-A10J-07" 0.041912811474 0.0147546714145 38.0615581301 1
"TCGA-A7-A6VW-01A-21R-A33J-07" 1.01330323554 0.0215130062529 16.6368404988 1
"TCGA-A7-A4SD-01A-11R-A266-07" 0.278899661531 0.0345792734189 26.0367208492 1
